item,itemLabel,itemDescription,SSRNidValue
http://www.wikidata.org/entity/Q63616470,Eric Biber,legal academic,662379
http://www.wikidata.org/entity/Q63616471,Andrew D Bradt,legal academic,1472267
http://www.wikidata.org/entity/Q63616474,Meir Dan-Cohen,legal academic,190609
http://www.wikidata.org/entity/Q63616475,Holly Doremus,legal academic,37460
http://www.wikidata.org/entity/Q63616482,Sean Farhang,legal academic,381466
http://www.wikidata.org/entity/Q63616483,Malcolm M Feeley,legal academic,1517139
http://www.wikidata.org/entity/Q63616484,Catherine Fisk,legal academic,259851
http://www.wikidata.org/entity/Q63616485,Stavros Gadinis,legal academic,591462
http://www.wikidata.org/entity/Q63616486,Mark P Gergen,legal academic,200399
http://www.wikidata.org/entity/Q63616493,Prasad Krishnamurthy,legal academic,606458
http://www.wikidata.org/entity/Q63616497,David M Lieberman,legal academic,185494
http://www.wikidata.org/entity/Q63616498,Katerina Linos,legal academic,1685556
http://www.wikidata.org/entity/Q63616499,Peter S Menell,legal academic,99590
http://www.wikidata.org/entity/Q63616500,Robert P. Merges,legal academic,69308
http://www.wikidata.org/entity/Q63616503,Saira Mohamed,legal academic,833367
http://www.wikidata.org/entity/Q63616506,Calvin Morrill,legal academic,1300048
http://www.wikidata.org/entity/Q63616507,Tejas Narechania,legal academic,1534011
http://www.wikidata.org/entity/Q63616508,Eric Rakowski,legal academic,223806
http://www.wikidata.org/entity/Q63616509,Russell K Robinson,legal academic,334219
